traceId,activity,timestamp,status,nodeType,poolName,instanceType
1,StartEvent_09cyjfc,2024-04-15 18:00:00,complete,startEvent,main,a
1,Gateway_01s1pgm,2024-04-15 18:00:00,complete,exclusiveGateway,main,a
1,Activity_10x08n3,2024-04-15 18:00:00,start,task,main,a
1,Activity_10x08n3,2024-04-15 18:00:00,assign,task,main,a
1,Activity_10x08n3,2024-04-15 18:00:10,complete,task,main,a
1,Gateway_1ngxc9b,2024-04-15 18:00:10,complete,parallelGateway,main,a
1,Activity_14rjj9v,2024-04-15 18:00:10,start,task,main,a
1,Activity_0uqn82h,2024-04-15 18:00:10,start,subProcess,main,a
1,Event_1njp3xz,2024-04-15 18:00:10,complete,startEvent,main,a
1,Activity_12afiek,2024-04-15 18:00:10,start,task,main,a
1,Event_0pg18xv,2024-04-15 18:00:10,complete,startEvent,second,a
1,Activity_182s0e0,2024-04-15 18:00:10,start,task,second,a
1,Activity_14rjj9v,2024-04-15 18:00:10,assign,task,main,a
1,Activity_14rjj9v,2024-04-15 18:00:11,complete,task,main,a
1,Activity_12afiek,2024-04-15 18:00:12,assign,task,main,a
1,Activity_12afiek,2024-04-15 18:00:14,complete,task,main,a
1,Event_1go337f,2024-04-15 18:00:14,complete,endEvent,main,a
1,Activity_0uqn82h,2024-04-15 18:00:14,complete,subProcess,main,a
1,Activity_1ijxuyk,2024-04-15 18:00:14,start,task,main,a
1,Activity_1ijxuyk,2024-04-15 18:00:14,assign,task,main,a
1,Activity_1ijxuyk,2024-04-15 18:00:16,complete,task,main,a
1,Activity_182s0e0,2024-04-15 18:00:16,assign,task,second,a
1,Activity_182s0e0,2024-04-15 18:01:56,complete,task,second,a
1,Event_016qlk7,2024-04-15 18:01:56,complete,intermediateThrowEvent,second,a
1,Event_0iqs5ri,2024-04-15 18:01:56,complete,endEvent/messageEventDefinition,second,a
1,Activity_0qykc8o,2024-04-15 18:01:56,start,task,main,a
1,Activity_0qykc8o,2024-04-15 18:01:56,assign,task,main,a
1,Activity_0qykc8o,2024-04-15 18:01:57,complete,task,main,a
1,Gateway_0xussxu,2024-04-15 18:01:57,complete,parallelGateway,main,a
1,Gateway_0a5f12j,2024-04-15 18:01:57,complete,exclusiveGateway,main,a
1,Gateway_01s1pgm,2024-04-15 18:01:57,complete,exclusiveGateway,main,a
1,Activity_10x08n3,2024-04-15 18:01:57,start,task,main,a
1,Activity_10x08n3,2024-04-15 18:01:57,assign,task,main,a
1,Activity_10x08n3,2024-04-15 18:02:07,complete,task,main,a
1,Gateway_1ngxc9b,2024-04-15 18:02:07,complete,parallelGateway,main,a
1,Activity_14rjj9v,2024-04-15 18:02:07,start,task,main,a
1,Activity_0uqn82h,2024-04-15 18:02:07,start,subProcess,main,a
1,Event_1njp3xz,2024-04-15 18:02:07,complete,startEvent,main,a
1,Activity_12afiek,2024-04-15 18:02:07,start,task,main,a
1,Activity_14rjj9v,2024-04-15 18:02:07,assign,task,main,a
1,Activity_14rjj9v,2024-04-15 18:02:08,complete,task,main,a
1,Activity_0qykc8o,2024-04-15 18:02:08,start,task,main,a
1,Activity_0qykc8o,2024-04-15 18:02:08,assign,task,main,a
1,Activity_0qykc8o,2024-04-15 18:02:09,complete,task,main,a
1,Activity_12afiek,2024-04-15 18:02:09,assign,task,main,a
1,Activity_12afiek,2024-04-15 18:02:11,complete,task,main,a
1,Event_1go337f,2024-04-15 18:02:11,complete,endEvent,main,a
1,Activity_0uqn82h,2024-04-15 18:02:11,complete,subProcess,main,a
1,Activity_1ijxuyk,2024-04-15 18:02:11,start,task,main,a
1,Activity_1ijxuyk,2024-04-15 18:02:11,assign,task,main,a
1,Activity_1ijxuyk,2024-04-15 18:02:13,complete,task,main,a
1,Gateway_0xussxu,2024-04-15 18:02:13,complete,parallelGateway,main,a
1,Gateway_0a5f12j,2024-04-15 18:02:13,complete,exclusiveGateway,main,a
1,Event_1b9cqpn,2024-04-15 18:02:13,complete,endEvent,main,a
2,StartEvent_09cyjfc,2024-04-15 18:10:00,complete,startEvent,main,b
2,Gateway_01s1pgm,2024-04-15 18:10:00,complete,exclusiveGateway,main,b
2,Activity_10x08n3,2024-04-15 18:10:00,start,task,main,b
2,Activity_10x08n3,2024-04-15 18:10:00,assign,task,main,b
2,Activity_10x08n3,2024-04-15 18:10:10,complete,task,main,b
2,Gateway_1ngxc9b,2024-04-15 18:10:10,complete,parallelGateway,main,b
2,Activity_14rjj9v,2024-04-15 18:10:10,start,task,main,b
2,Activity_0uqn82h,2024-04-15 18:10:10,start,subProcess,main,b
2,Event_1njp3xz,2024-04-15 18:10:10,complete,startEvent,main,b
2,Activity_12afiek,2024-04-15 18:10:10,start,task,main,b
2,Event_0pg18xv,2024-04-15 18:10:10,complete,startEvent,second,b
2,Activity_182s0e0,2024-04-15 18:10:10,start,task,second,b
2,Activity_14rjj9v,2024-04-15 18:10:10,assign,task,main,b
2,Activity_14rjj9v,2024-04-15 18:10:11,complete,task,main,b
2,Activity_12afiek,2024-04-15 18:10:12,assign,task,main,b
2,Activity_12afiek,2024-04-15 18:10:14,complete,task,main,b
2,Event_1go337f,2024-04-15 18:10:14,complete,endEvent,main,b
2,Activity_0uqn82h,2024-04-15 18:10:14,complete,subProcess,main,b
2,Activity_1ijxuyk,2024-04-15 18:10:14,start,task,main,b
2,Activity_1ijxuyk,2024-04-15 18:10:14,assign,task,main,b
2,Activity_1ijxuyk,2024-04-15 18:10:16,complete,task,main,b
2,Activity_182s0e0,2024-04-15 18:10:16,assign,task,second,b
2,Activity_182s0e0,2024-04-15 18:11:56,complete,task,second,b
2,Event_016qlk7,2024-04-15 18:11:56,complete,intermediateThrowEvent,second,b
2,Activity_0qykc8o,2024-04-15 18:11:56,start,task,main,b
2,Activity_0qykc8o,2024-04-15 18:11:56,assign,task,main,b
2,Activity_0qykc8o,2024-04-15 18:11:57,complete,task,main,b
2,Gateway_0xussxu,2024-04-15 18:11:57,complete,parallelGateway,main,b
2,Gateway_0a5f12j,2024-04-15 18:11:57,complete,exclusiveGateway,main,b
2,Event_1b9cqpn,2024-04-15 18:11:57,complete,endEvent,main,b
